Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App,,,,2022-10-28 21:29:01,2022-10-28 21:44:12,15m - 10.938s,FAILED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-28 21:29:01,2022-10-28 21:29:37,35.679s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:29:02,2022-10-28 21:29:32,30.939s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:29:32,2022-10-28 21:29:33,0.125s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-28 21:29:33,2022-10-28 21:29:34,1.679s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-28 21:29:34,2022-10-28 21:29:34,0.173s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-28 21:29:34,2022-10-28 21:29:35,0.141s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-28 21:29:35,2022-10-28 21:29:37,2.157s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-28 21:29:37,2022-10-28 21:30:04,27.266s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:29:37,2022-10-28 21:29:59,22.424s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:29:59,2022-10-28 21:30:00,0.105s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-28 21:30:00,2022-10-28 21:30:03,3.616s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-28 21:30:03,2022-10-28 21:30:03,0.135s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), """", 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-28 21:30:03,2022-10-28 21:30:03,0.096s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-28 21:30:03,2022-10-28 21:30:04,0.616s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-28 21:30:04,2022-10-28 21:30:31,26.791s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:30:04,2022-10-28 21:30:27,22.354s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:30:27,2022-10-28 21:30:27,0.123s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-28 21:30:27,2022-10-28 21:30:29,1.822s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-28 21:30:29,2022-10-28 21:30:29,0.165s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/cardUser"").getValue(1, 1), 0)",,"User Input Text in ""Your Card Name"" field",,2022-10-28 21:30:29,2022-10-28 21:30:29,0.170s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-28 21:30:29,2022-10-28 21:30:31,1.937s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-05,,,,2022-10-28 21:30:31,2022-10-28 21:30:56,25.028s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:30:31,2022-10-28 21:30:54,22.423s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:30:54,2022-10-28 21:30:54,0.166s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-28 21:30:54,2022-10-28 21:30:56,1.807s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-28 21:30:56,2022-10-28 21:30:56,0.192s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), """", 0)",,"User Input Empty Text in ""Your Card Name"" field",,2022-10-28 21:30:56,2022-10-28 21:30:56,0.088s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-28 21:30:56,2022-10-28 21:30:56,0.096s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-06,,,,2022-10-28 21:30:56,2022-10-28 21:31:57,1m - 0.598s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:30:56,2022-10-28 21:31:19,22.389s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:31:19,2022-10-28 21:31:19,0.108s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 21:31:19,2022-10-28 21:31:20,0.884s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-Button""), 0)",,"User click ""Label"" button",,2022-10-28 21:31:20,2022-10-28 21:31:21,1.761s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-CreateNewLabel""), 0, OPTIONAL)",,"User click ""New Label"" button",,2022-10-28 21:31:21,2022-10-28 21:31:51,30.114s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), 0)",,"User click ""Name your label"" field",,2022-10-28 21:31:51,2022-10-28 21:31:52,0.176s,PASSED
"setText(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), Day1, 0)",,"User Input Text ""Name of Label""",,2022-10-28 21:31:52,2022-10-28 21:31:52,0.836s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/LabelColor-Green01""), 0)",,"User click one of ""Label Color""",,2022-10-28 21:31:52,2022-10-28 21:31:53,0.939s,PASSED
hideKeyboard(),,User Hide Keyboard,,2022-10-28 21:31:53,2022-10-28 21:31:54,0.613s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/SubmitLabel-Button""), 0)",,User click Submit Button,,2022-10-28 21:31:54,2022-10-28 21:31:56,2.355s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Board/Label/Assertion-Label-CreatingLabelForThisBoardSuccess""), 0)",,User get notificiation creating Label for this Board Success,,2022-10-28 21:31:56,2022-10-28 21:31:57,0.132s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-07,,,,2022-10-28 21:31:57,2022-10-28 21:32:26,29.455s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:31:57,2022-10-28 21:32:19,22.338s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:32:19,2022-10-28 21:32:19,0.105s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 21:32:19,2022-10-28 21:32:20,1.006s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-Button""), 0)",,"User click ""Label"" button",,2022-10-28 21:32:20,2022-10-28 21:32:23,2.354s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-CreateNewLabel""), 3, OPTIONAL)",,"User click ""New Label"" button",,2022-10-28 21:32:23,2022-10-28 21:32:23,0.838s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), 0)",,"User click ""Name your label"" field",,2022-10-28 21:32:23,2022-10-28 21:32:24,0.828s,PASSED
"setText(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), """", 0)",,"User Input Empty ""Name of Label""",,2022-10-28 21:32:24,2022-10-28 21:32:24,0.116s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/LabelColor-Navy01""), 0)",,"User click one of ""Label Color""",,2022-10-28 21:32:24,2022-10-28 21:32:25,0.127s,PASSED
hideKeyboard(),,User Hide Keyboard,,2022-10-28 21:32:25,2022-10-28 21:32:25,0.337s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/SubmitLabel-Button""), 0)",,"User click ""Submit"" Button",,2022-10-28 21:32:25,2022-10-28 21:32:26,1.122s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-08,,,,2022-10-28 21:32:26,2022-10-28 21:32:55,29.454s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 21:32:26,2022-10-28 21:32:48,22.142s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 21:32:48,2022-10-28 21:32:49,0.115s,PASSED
