Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Board,,,,2022-10-31 12:26:40,2022-10-31 12:32:20,5m - 39.604s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-31 12:26:41,2022-10-31 12:27:15,34.325s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:26:41,2022-10-31 12:27:10,28.929s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 12:27:10,2022-10-31 12:27:10,0.159s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-31 12:27:10,2022-10-31 12:27:13,2.200s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-31 12:27:13,2022-10-31 12:27:13,0.152s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 1), 0)",,"User input text in ""Add New List"" field",,2022-10-31 12:27:13,2022-10-31 12:27:13,0.178s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-31 12:27:13,2022-10-31 12:27:15,2.272s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-31 12:27:15,2022-10-31 12:27:38,23.244s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:27:16,2022-10-31 12:27:36,20.292s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 12:27:36,2022-10-31 12:27:36,0.122s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-31 12:27:36,2022-10-31 12:27:38,1.626s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-31 12:27:38,2022-10-31 12:27:38,0.175s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 2), 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-31 12:27:38,2022-10-31 12:27:38,0.122s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-31 12:27:38,2022-10-31 12:27:38,0.601s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-31 12:27:38,2022-10-31 12:28:03,24.524s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:27:39,2022-10-31 12:27:57,18.723s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 12:27:57,2022-10-31 12:27:59,1.382s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-31 12:27:59,2022-10-31 12:28:01,2.001s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-31 12:28:01,2022-10-31 12:28:01,0.162s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/Card/CardName"").getValue(1, 1), 0)",,"User Input Text in ""Your Card Name"" field",,2022-10-31 12:28:01,2022-10-31 12:28:01,0.108s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-31 12:28:01,2022-10-31 12:28:03,1.871s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-05,,,,2022-10-31 12:28:03,2022-10-31 12:28:26,22.722s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:28:03,2022-10-31 12:28:23,19.896s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 12:28:23,2022-10-31 12:28:24,1.039s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-31 12:28:24,2022-10-31 12:28:25,1.135s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-31 12:28:25,2022-10-31 12:28:26,0.184s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/Card/CardName"").getValue(1, 2), 0)",,"User Input Empty Text in ""Your Card Name"" field",,2022-10-31 12:28:26,2022-10-31 12:28:26,0.108s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-31 12:28:26,2022-10-31 12:28:26,0.106s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-06,,,,2022-10-31 12:28:26,2022-10-31 12:28:54,28.516s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:28:26,2022-10-31 12:28:46,19.663s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 12:28:46,2022-10-31 12:28:46,0.192s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-31 12:28:46,2022-10-31 12:28:47,0.914s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-Button""), 0)",,"User click ""Label"" button",,2022-10-31 12:28:47,2022-10-31 12:28:48,1.609s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-CreateNewLabel""), 0, OPTIONAL)",,"User click ""New Label"" button",,2022-10-31 12:28:48,2022-10-31 12:28:49,0.790s,PASSED
