Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Blast,,,,2022-10-31 13:31:00,2022-10-31 13:36:06,5m - 6.435s,FAILED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-24,,,,2022-10-31 13:31:00,2022-10-31 13:31:38,37.112s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:31:01,2022-10-31 13:31:27,26.022s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-31 13:31:27,2022-10-31 13:31:28,1.326s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-31 13:31:28,2022-10-31 13:31:30,1.700s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-31 13:31:30,2022-10-31 13:31:31,1.589s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 1), 0)",,"User input text in ""Type a Title"" field",,2022-10-31 13:31:31,2022-10-31 13:31:33,1.026s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-31 13:31:33,2022-10-31 13:31:34,1.056s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 1), 0, STOP_ON_FAILURE)",,"User input text in ""Description"" field",,2022-10-31 13:31:34,2022-10-31 13:31:35,1.493s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-31 13:31:35,2022-10-31 13:31:35,0.299s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-31 13:31:35,2022-10-31 13:31:36,0.966s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-31 13:31:36,2022-10-31 13:31:38,1.243s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-25,,,,2022-10-31 13:31:38,2022-10-31 13:32:09,30.894s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:31:38,2022-10-31 13:31:59,20.785s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-31 13:31:59,2022-10-31 13:31:59,0.211s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-31 13:31:59,2022-10-31 13:32:02,3.105s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-31 13:32:02,2022-10-31 13:32:02,0.213s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 3), 0)",,"User input empty text in ""Type a Title"" field",,2022-10-31 13:32:02,2022-10-31 13:32:03,0.845s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-31 13:32:03,2022-10-31 13:32:03,0.192s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 1), 0, STOP_ON_FAILURE)",,"User input text in ""Description"" field",,2022-10-31 13:32:03,2022-10-31 13:32:05,1.603s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-31 13:32:05,2022-10-31 13:32:05,0.198s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-31 13:32:05,2022-10-31 13:32:06,0.947s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-31 13:32:06,2022-10-31 13:32:08,2.099s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Blast/Post/POST-Assert-TitleMustBeFilled""), 0)",,,,2022-10-31 13:32:08,2022-10-31 13:32:09,0.273s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-26,,,,2022-10-31 13:32:09,2022-10-31 13:32:40,31.677s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:32:09,2022-10-31 13:32:30,20.869s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-31 13:32:30,2022-10-31 13:32:30,0.140s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-31 13:32:30,2022-10-31 13:32:32,1.705s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-31 13:32:32,2022-10-31 13:32:33,1.707s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 2), 0)",,"User input Text in ""Type a Title"" field",,2022-10-31 13:32:33,2022-10-31 13:32:34,0.897s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-31 13:32:34,2022-10-31 13:32:35,1.055s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 3), 0, STOP_ON_FAILURE)",,"User input empty text in ""Description"" field",,2022-10-31 13:32:35,2022-10-31 13:32:37,1.552s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-31 13:32:37,2022-10-31 13:32:37,0.176s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-31 13:32:37,2022-10-31 13:32:38,0.931s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-31 13:32:38,2022-10-31 13:32:40,2.136s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Blast/Post/POST-Assert-DescriptionMustBeFilled""), 0)",,,,2022-10-31 13:32:40,2022-10-31 13:32:40,0.147s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-27,,,,2022-10-31 13:32:40,2022-10-31 13:32:42,1.581s,FAILED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:32:41,2022-10-31 13:32:42,1.213s,FAILED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-28,,,,2022-10-31 13:32:42,2022-10-31 13:33:13,30.965s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:32:42,2022-10-31 13:33:03,20.456s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-31 13:33:03,2022-10-31 13:33:03,0.190s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-AddButtonOntheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-31 13:33:03,2022-10-31 13:33:05,2.000s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-TypeATitleField""), 0)",,"User click ""Type a title"" field",,2022-10-31 13:33:05,2022-10-31 13:33:06,1.593s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Description/Desc-TypeATitleField""), findTestData(""Blast/Desc/Desc"").getValue(1, 1), 0)",,,,2022-10-31 13:33:06,2022-10-31 13:33:07,1.117s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-InsertLinkToolBar""), 0)",,,,2022-10-31 13:33:07,2022-10-31 13:33:09,1.821s,PASSED
